      UTCTime       Week   GPSTime         Latitude        Longitude        H-Ell VelBdyX VelBdyY VelBdyZ AccBdyX AccBdyY AccBdyZ           Roll          Pitch        Heading Q
        (sec)    (weeks)     (sec)       (+/-D M S)       (+/-D M S)          (m)   (m/s)   (m/s)   (m/s) (m/s^2) (m/s^2) (m/s^2)          (deg)          (deg)          (deg)  
1621579356.00 2158.00000 456174.00   22 18 18.01207  114 11 22.40135        2.436   0.002   2.975  -0.025  -0.751  -0.374  -0.014   1.5186590135   0.4120082209 119.3106055846 2
1621579357.00 2158.00000 456175.00   22 18 17.97213  114 11 22.48775        2.444  -0.021   2.634  -0.012  -0.186  -0.245   0.062   0.8906972700   0.3201860047 114.0807041264 2
1621579358.00 2158.00000 456176.00   22 18 17.93718  114 11 22.57531        2.443   0.049   3.201  -0.043  -0.107   1.393  -0.100  -0.2484917957   0.6847533201 112.5041362686 2
1621579359.00 2158.00000 456177.00   22 18 17.88897  114 11 22.69355        2.445   0.085   4.026  -0.023  -0.052  -0.107   0.294  -1.1660092201   0.4335514340 113.1725889395 2
1621579360.00 2158.00000 456178.00   22 18 17.83379  114 11 22.81678        2.454   0.087   3.819  -0.024  -0.027  -0.326   0.048  -1.3591590225   0.4296438618 115.3956365367 2
1621579361.00 2158.00000 456179.00   22 18 17.77722  114 11 22.93111        2.450   0.080   3.660  -0.038   0.150   0.262  -0.023  -1.6581398591   0.2152717028 117.7104375952 2
1621579362.00 2158.00000 456180.00   22 18 17.71292  114 11 23.04843        2.442   0.125   4.220  -0.035   0.116   0.656  -0.327  -1.7174467205   0.6192126779 120.1828650728 2
1621579363.00 2158.00000 456181.00   22 18 17.63189  114 11 23.18122        2.448   0.111   4.899  -0.050  -0.325   0.362  -0.178  -1.3903909519   0.5007937608 122.5562625250 2
1621579364.00 2158.00000 456182.00   22 18 17.53662  114 11 23.33089        2.444   0.120   5.332  -0.046  -0.468  -0.001  -0.899  -1.4382959531   0.8310810114 123.2566060267 2
1621579365.00 2158.00000 456183.00   22 18 17.43846  114 11 23.48159        2.478   0.156   5.202  -0.021   0.189  -0.079   0.116  -0.9145724213   0.1080655697 123.6711295324 2
1621579366.00 2158.00000 456184.00   22 18 17.34243  114 11 23.62876        2.458   0.100   5.220  -0.054   0.307   1.854  -0.154  -0.9596470111   0.8266233998 123.6623002527 2
1621579367.00 2158.00000 456185.00   22 18 17.23803  114 11 23.79017        2.455   0.135   5.965  -0.053  -0.366   0.100   0.259  -1.2846401316   0.3737403698 123.4354318842 2
